sep=,
FREQ_4,y001,x001,y002,x002,y003,x003,y004,x004,y005,x005,y006,x006,y007,x007,y008,x008,y009,x009,y010,x010,y011,x011,y012,x012,y013,x013,y014,x014,y015,x015,y016,x016
1960/03/31,1.0040000000,0.4503998933,1.0080000000,0.4507991469,1.0120000000,0.4511971221,1.0160000000,0.4515931821,1.0200000000,0.4519866933,1.0240000000,0.4523770263,1.0280000000,0.4527635565,1.0320000000,0.4531456656,1.0360000000,0.4535227423,1.0400000000,0.4538941834,1.0440000000,0.4542593947,1.0480000000,0.4546177918,1.0520000000,0.4549688014,1.0560000000,0.4553118620,1.0600000000,0.4556464247,1.0640000000,0.4559719544
1960/06/30,1.0060000000,0.4512991469,1.0100000000,0.4516971221,1.0140000000,0.4520931821,1.0180000000,0.4524866933,1.0220000000,0.4528770263,1.0260000000,0.4532635565,1.0300000000,0.4536456656,1.0340000000,0.4540227423,1.0380000000,0.4543941834,1.0420000000,0.4547593947,1.0460000000,0.4551177918,1.0500000000,0.4554688014,1.0540000000,0.4558118620,1.0580000000,0.4561464247,1.0620000000,0.4564719544,1.0660000000,0.4567879302
1960/09/30,1.0080000000,0.4521971221,1.0120000000,0.4525931821,1.0160000000,0.4529866933,1.0200000000,0.4533770263,1.0240000000,0.4537635565,1.0280000000,0.4541456656,1.0320000000,0.4545227423,1.0360000000,0.4548941834,1.0400000000,0.4552593947,1.0440000000,0.4556177918,1.0480000000,0.4559688014,1.0520000000,0.4563118620,1.0560000000,0.4566464247,1.0600000000,0.4569719544,1.0640000000,0.4572879302,1.0680000000,0.4575938467
1960/12/31,1.0100000000,0.4530931821,1.0140000000,0.4534866933,1.0180000000,0.4538770263,1.0220000000,0.4542635565,1.0260000000,0.4546456656,1.0300000000,0.4550227423,1.0340000000,0.4553941834,1.0380000000,0.4557593947,1.0420000000,0.4561177918,1.0460000000,0.4564688014,1.0500000000,0.4568118620,1.0540000000,0.4571464247,1.0580000000,0.4574719544,1.0620000000,0.4577879302,1.0660000000,0.4580938467,1.0700000000,0.4583892145
1961/03/31,1.0120000000,0.4539866933,1.0160000000,0.4543770263,1.0200000000,0.4547635565,1.0240000000,0.4551456656,1.0280000000,0.4555227423,1.0320000000,0.4558941834,1.0360000000,0.4562593947,1.0400000000,0.4566177918,1.0440000000,0.4569688014,1.0480000000,0.4573118620,1.0520000000,0.4576464247,1.0560000000,0.4579719544,1.0600000000,0.4582879302,1.0640000000,0.4585938467,1.0680000000,0.4588892145,1.0720000000,0.4591735609
1961/06/30,1.0140000000,0.4548770263,1.0180000000,0.4552635565,1.0220000000,0.4556456656,1.0260000000,0.4560227423,1.0300000000,0.4563941834,1.0340000000,0.4567593947,1.0380000000,0.4571177918,1.0420000000,0.4574688014,1.0460000000,0.4578118620,1.0500000000,0.4581464247,1.0540000000,0.4584719544,1.0580000000,0.4587879302,1.0620000000,0.4590938467,1.0660000000,0.4593892145,1.0700000000,0.4596735609,1.0740000000,0.4599464312
1961/09/30,1.0160000000,0.4557635565,1.0200000000,0.4561456656,1.0240000000,0.4565227423,1.0280000000,0.4568941834,1.0320000000,0.4572593947,1.0360000000,0.4576177918,1.0400000000,0.4579688014,1.0440000000,0.4583118620,1.0480000000,0.4586464247,1.0520000000,0.4589719544,1.0560000000,0.4592879302,1.0600000000,0.4595938467,1.0640000000,0.4598892145,1.0680000000,0.4601735609,1.0720000000,0.4604464312,1.0760000000,0.4607073888
1961/12/31,1.0180000000,0.4566456656,1.0220000000,0.4570227423,1.0260000000,0.4573941834,1.0300000000,0.4577593947,1.0340000000,0.4581177918,1.0380000000,0.4584688014,1.0420000000,0.4588118620,1.0460000000,0.4591464247,1.0500000000,0.4594719544,1.0540000000,0.4597879302,1.0580000000,0.4600938467,1.0620000000,0.4603892145,1.0660000000,0.4606735609,1.0700000000,0.4609464312,1.0740000000,0.4612073888,1.0780000000,0.4614560162
1962/03/31,1.0200000000,0.4575227423,1.0240000000,0.4578941834,1.0280000000,0.4582593947,1.0320000000,0.4586177918,1.0360000000,0.4589688014,1.0400000000,0.4593118620,1.0440000000,0.4596464247,1.0480000000,0.4599719544,1.0520000000,0.4602879302,1.0560000000,0.4605938467,1.0600000000,0.4608892145,1.0640000000,0.4611735609,1.0680000000,0.4614464312,1.0720000000,0.4617073888,1.0760000000,0.4619560162,1.0800000000,0.4621919157
1962/06/30,1.0220000000,0.4583941834,1.0260000000,0.4587593947,1.0300000000,0.4591177918,1.0340000000,0.4594688014,1.0380000000,0.4598118620,1.0420000000,0.4601464247,1.0460000000,0.4604719544,1.0500000000,0.4607879302,1.0540000000,0.4610938467,1.0580000000,0.4613892145,1.0620000000,0.4616735609,1.0660000000,0.4619464312,1.0700000000,0.4622073888,1.0740000000,0.4624560162,1.0780000000,0.4626919157,1.0820000000,0.4629147098
